province,salesVolume
上海,557637
云南,541684
内蒙古,358664
北京,591390
四川,1040148
安徽,787327
山东,1616928
山西,529123
广东,2145301
广西,483366
江苏,1711484
江西,547251
河北,1372210
河南,1470908
浙江,1352446
湖北,752429
湖南,832908
福建,544508
辽宁,624368
重庆,436431
陕西,581443
黑龙江,405951
